#,Timestamp,IBI,GT STRESS,LOOSENESS,REMOVED,MOBILITY,REMOVED
1,1587628865000,779.0487394957984,1,179868.63585716987,1,2.8221817116143884,1
2,1587628805000,764.70826306914,1,116178.05805066308,1,2.3621959028293276,0
3,1587628745000,805.6750418760469,1,123013.58342372991,1,0.9095422274846212,0
4,1587628685000,815.9042016806723,1,205519.43576006684,1,2.163631611586389,1
5,1587628625000,791.6191520467836,1,45133.102160823975,0,0.8368995503091524,0
6,1587628565000,838.3616600790514,1,106248.0850638843,0,0.7778849443135551,0
7,1587628505000,802.7624521072797,1,15103.257109488371,0,0.25157394963515306,0
8,1587628445000,764.3086124401914,1,214540.82119197008,1,0.906266448907575,0
9,1587643140000,989.091726618705,0,82173.88267186936,0,0.7113891875428832,0
10,1587643080000,702.6329966329967,0,73683.91927503597,0,0.41620398296638905,0
11,1587643020000,784.0219224283305,0,126869.06495114432,1,1.4436765460966883,0
12,1587642960000,700.463986599665,0,72852.61884262142,0,1.3012845050462596,0
13,1587642900000,732.1327731092437,0,114521.75410509306,1,2.5946225782131926,1
14,1587642840000,835.9899159663865,0,90694.7468020035,0,2.40028983613755,1
15,1587642780000,844.6515151515151,0,113098.38136697785,1,2.497868207842384,0
16,1587642720000,800.5378151260504,0,123870.34443205112,1,1.5471437336359366,0
17,1587642660000,772.7025112685126,0,141695.95610248687,1,2.183697814260784,1
18,1587642600000,712.9447236180905,0,122716.22022537464,1,4.7786722134995046,1
19,1587642540000,722.1361344537816,0,167880.25972074977,1,2.0488465642324365,0
20,1587642480000,746.3456998313659,0,189803.455407259,1,3.1730122299448897,1
21,1587642420000,794.8739635157546,0,123648.097847482,1,3.7726008148127894,1
22,1587642360000,820.4127272727272,0,76540.26536113472,0,3.455817969453641,1
23,1587642300000,825.8585086042065,0,117931.65999154173,1,4.636510841156538,1
24,1587642240000,692.0608108108108,0,100738.51601358096,0,1.8868165542681157,0
25,1587642180000,822.2571428571429,0,106130.88968070885,0,2.566228812382229,1
26,1587642120000,900.2128378378378,0,99705.55775063304,0,3.872906738184338,1
27,1587642060000,862.0294695481336,0,130676.07637814601,1,3.269708562933534,1
28,1587646740000,831.0250836120401,1,53110.46275441075,0,0.33711348053814494,0
29,1587646680000,756.7226890756302,1,43889.321340893315,0,0.3223354486124893,0
30,1587646620000,765.3158783783783,1,8049.959773761953,0,0.2366814101958497,0
31,1587646560000,745.809364548495,1,11133.341916161251,0,0.2899771042609233,0
32,1587646500000,785.013468013468,1,18637.665165679555,0,0.11917520887339544,0
33,1587646440000,798.7096573208722,1,52342.98747853088,0,0.7599866170497603,0
34,1587646380000,721.2582359192348,1,13381.249387449314,0,1.0490247760654592,0
35,1587646320000,738.0738255033557,1,87332.17478525339,0,2.711485715357112,1
36,1587646260000,850.3737201365187,1,55914.11676945806,0,2.614940985899721,0
37,1587646200000,757.1340033500837,1,68861.03149669227,0,1.1091047645485212,0
38,1587646140000,721.0756302521008,1,16125.759118439713,0,0.314821276819898,0
39,1587646080000,751.4191919191919,1,32464.645889487787,0,0.3685982526892107,0
40,1587646020000,720.7554438860972,1,15019.857875567406,0,0.25889452981399635,0
